age,income,loan_amount,credit_score,default
24.0,108620.0,34193.0,659.0,0
36.0,93065.0,22104.0,551.0,0
50.0,65666.0,25612.0,676.0,0
18.0,69079.0,45238.0,721.0,0
55.0,87058.0,37970.0,630.0,0
50.0,38719.0,34884.0,722.0,1
33.0,118469.0,45548.0,629.0,0
44.0,93835.0,40767.0,691.0,0
38.0,109541.0,52359.0,507.0,1
52.0,53388.0,29482.0,785.0,1
49.0,109891.0,29844.0,730.0,0
23.0,129630.0,19387.0,623.0,1
44.0,58582.0,29852.0,522.0,0
36.0,100428.0,46577.0,657.0,1
39.0,85022.0,50600.0,553.0,0
30.0,54111.0,46524.0,667.0,1
57.0,94858.0,13470.0,665.0,0
49.0,101672.0,47998.0,584.0,1
30.0,72977.0,12938.0,707.0,1
23.0,108318.0,45777.0,688.0,1
34.0,51665.0,30587.0,699.0,0
43.0,55105.0,43430.0,641.0,1
41.0,87732.0,19011.0,555.0,0
52.0,85508.0,49054.0,699.0,1
47.0,70669.0,17420.0,624.0,1
49.0,101192.0,26979.0,557.0,0
42.0,95618.0,23023.0,721.0,0
23.0,102163.0,13949.0,766.0,0
36.0,82537.0,36134.0,638.0,0
50.0,97052.0,56673.0,770.0,0
37.0,76087.0,67003.0,645.0,0
44.0,126076.0,36166.0,617.0,0
34.0,68749.0,48400.0,602.0,1
27.0,127106.0,37785.0,738.0,0
37.0,85698.0,40987.0,593.0,0
41.0,57490.0,30894.0,684.0,0
31.0,112362.0,37341.0,606.0,1
35.0,87518.0,41450.0,612.0,1
28.0,102022.0,28058.0,702.0,0
50.0,109477.0,34070.0,617.0,0
35.0,91759.0,34299.0,616.0,0
54.0,73155.0,44917.0,708.0,1
55.0,104514.0,22208.0,736.0,0
37.0,85015.0,34381.0,679.0,1
27.0,98717.0,57944.0,601.0,0
18.0,41925.0,48969.0,609.0,1
22.0,93940.0,51190.0,645.0,0
23.0,72228.0,35293.0,659.0,0
53.0,118066.0,38852.0,581.0,1
39.0,97462.0,47027.0,683.0,0
42.0,89797.0,53723.0,645.0,1
18.0,94726.0,11581.0,537.0,1
25.0,65031.0,19215.0,584.0,0
48.0,117465.0,50713.0,610.0,0
41.0,124827.0,31677.0,636.0,0
36.0,92858.0,26939.0,753.0,1
44.0,116808.0,19950.0,654.0,0
56.0,73617.0,28340.0,590.0,0
36.0,69058.0,18172.0,653.0,0
39.0,85818.0,60093.0,619.0,0
40.0,93699.0,34731.0,659.0,0
64.0,77120.0,34305.0,675.0,1
18.0,95755.0,42057.0,713.0,1
46.0,91128.0,46548.0,639.0,0
37.0,65034.0,46351.0,738.0,0
44.0,95376.0,47883.0,694.0,1
31.0,102271.0,27430.0,598.0,1
37.0,88429.0,31426.0,773.0,0
46.0,108053.0,44228.0,660.0,0
70.0,60652.0,28671.0,590.0,1
47.0,94359.0,34939.0,739.0,1
29.0,61594.0,39785.0,765.0,0
33.0,62718.0,44422.0,638.0,0
33.0,72381.0,13668.0,610.0,0
18.0,66159.0,43577.0,630.0,0
34.0,74040.0,32195.0,683.0,0
46.0,80717.0,43489.0,717.0,0
24.0,101743.0,44323.0,674.0,0
50.0,78577.0,54295.0,646.0,1
43.0,53287.0,51241.0,730.0,0
30.0,107801.0,51159.0,621.0,0
36.0,68258.0,52324.0,702.0,0
56.0,83826.0,38497.0,623.0,1
46.0,93931.0,35386.0,666.0,0
38.0,88992.0,45474.0,633.0,0
35.0,106884.0,43785.0,637.0,1
39.0,94580.0,31291.0,617.0,0
32.0,67774.0,39858.0,721.0,0
18.0,128571.0,34579.0,596.0,0
60.0,88887.0,24753.0,596.0,0
40.0,82053.0,50486.0,767.0,0
42.0,104279.0,35662.0,699.0,0
37.0,89989.0,59584.0,497.0,1
30.0,92985.0,15494.0,606.0,1
36.0,134844.0,28319.0,531.0,0
20.0,79498.0,35392.0,583.0,0
63.0,78645.0,48649.0,452.0,0
24.0,87332.0,39794.0,632.0,0
27.0,106430.0,38726.0,571.0,1
33.0,54869.0,21473.0,644.0,0
52.0,45689.0,21117.0,542.0,1
38.0,73258.0,38870.0,645.0,0
24.0,52322.0,18631.0,615.0,0
52.0,76503.0,28617.0,730.0,0
46.0,95050.0,41011.0,725.0,1
44.0,67185.0,23212.0,687.0,1
46.0,56463.0,54264.0,620.0,0
64.0,86387.0,49687.0,759.0,0
62.0,102251.0,16143.0,547.0,0
30.0,51101.0,23812.0,556.0,1
56.0,101405.0,7571.0,635.0,0
42.0,101346.0,25609.0,775.0,0
43.0,104082.0,44197.0,628.0,1
19.0,109370.0,30033.0,629.0,0
36.0,129040.0,40530.0,553.0,1
29.0,77878.0,16732.0,697.0,0
47.0,87191.0,44576.0,697.0,0
50.0,76671.0,28339.0,687.0,0
18.0,85040.0,35146.0,602.0,0
38.0,115657.0,33886.0,598.0,0
50.0,58100.0,19741.0,562.0,1
36.0,67779.0,21163.0,645.0,0
46.0,112544.0,46614.0,575.0,0
42.0,105401.0,39788.0,569.0,0
42.0,77737.0,47601.0,615.0,1
35.0,102088.0,38896.0,611.0,0
25.0,91824.0,36716.0,608.0,1
26.0,115005.0,14288.0,668.0,1
46.0,86490.0,31756.0,645.0,0
38.0,105513.0,34671.0,623.0,1
36.0,137840.0,58437.0,651.0,0
33.0,96962.0,43243.0,581.0,0
35.0,85987.0,53433.0,646.0,0
50.0,99449.0,42170.0,649.0,0
34.0,77694.0,26464.0,550.0,0
23.0,132759.0,36405.0,700.0,0
46.0,88601.0,37835.0,587.0,0
36.0,79541.0,23730.0,645.0,0
38.0,68286.0,30387.0,710.0,0
56.0,106944.0,32531.0,696.0,0
38.0,102344.0,54267.0,642.0,1
41.0,75053.0,10031.0,618.0,0
25.0,96529.0,49470.0,697.0,1
36.0,54829.0,23758.0,680.0,0
45.0,88699.0,18535.0,603.0,1
21.0,94055.0,49159.0,592.0,0
40.0,119147.0,43783.0,516.0,0
39.0,69584.0,50054.0,649.0,0
38.0,59433.0,44608.0,635.0,0
49.0,67091.0,59718.0,708.0,0
42.0,58269.0,41705.0,662.0,0
54.0,111733.0,33122.0,720.0,0
27.0,115973.0,39115.0,598.0,0
39.0,91404.0,49922.0,708.0,0
39.0,109426.0,25647.0,608.0,0
26.0,87679.0,27177.0,687.0,0
49.0,83098.0,31292.0,552.0,1
64.0,78339.0,9745.0,654.0,0
38.0,78792.0,36657.0,521.0,0
44.0,54044.0,12366.0,624.0,0
39.0,90285.0,35637.0,666.0,0
30.0,84193.0,45383.0,609.0,0
18.0,99907.0,29277.0,577.0,1
30.0,86870.0,55125.0,691.0,0
23.0,81746.0,17474.0,634.0,1
57.0,67576.0,49295.0,611.0,0
37.0,86443.0,43102.0,643.0,1
34.0,99765.0,14408.0,798.0,0
48.0,62133.0,67530.0,709.0,0
26.0,86749.0,34235.0,710.0,1
30.0,89661.0,24470.0,666.0,0
39.0,70639.0,18115.0,650.0,0
49.0,73243.0,32360.0,496.0,0
44.0,89612.0,33471.0,599.0,0
41.0,62332.0,36232.0,611.0,1
39.0,91998.0,31426.0,528.0,1
42.0,67093.0,42599.0,571.0,0
40.0,106257.0,30348.0,521.0,1
27.0,131757.0,11780.0,638.0,0
39.0,67785.0,33208.0,689.0,1
26.0,95684.0,6590.0,706.0,1
39.0,70465.0,39245.0,665.0,0
33.0,105819.0,23248.0,582.0,1
66.0,59695.0,36960.0,524.0,0
38.0,94612.0,50769.0,535.0,1
23.0,67540.0,23615.0,564.0,1
37.0,80860.0,47735.0,587.0,0
44.0,64379.0,29799.0,630.0,0
56.0,101447.0,56038.0,579.0,0
32.0,68260.0,30618.0,660.0,1
21.0,96039.0,24914.0,626.0,0
47.0,78118.0,43247.0,641.0,0
23.0,82711.0,29771.0,708.0,0
33.0,87955.0,24903.0,569.0,0
35.0,69764.0,29266.0,665.0,0
37.0,89207.0,34465.0,639.0,0
46.0,115607.0,51106.0,620.0,0
30.0,69438.0,11791.0,693.0,0
35.0,108436.0,35277.0,693.0,1
38.0,114962.0,42499.0,583.0,0
40.0,68677.0,37321.0,629.0,1
39.0,55899.0,50718.0,657.0,1
43.0,91039.0,34108.0,624.0,0
47.0,74052.0,32785.0,675.0,0
42.0,122372.0,42108.0,657.0,0
43.0,85696.0,36192.0,750.0,0
21.0,68956.0,30315.0,548.0,0
39.0,62057.0,41194.0,633.0,0
43.0,106798.0,27170.0,585.0,0
46.0,73576.0,27666.0,676.0,0
30.0,85877.0,28664.0,543.0,1
31.0,104116.0,51237.0,661.0,0
32.0,75315.0,5000.0,602.0,0
44.0,84081.0,39747.0,596.0,0
49.0,84669.0,35411.0,553.0,1
34.0,98666.0,14830.0,612.0,0
48.0,96815.0,38717.0,705.0,0
39.0,80598.0,40709.0,638.0,1
37.0,86273.0,42076.0,678.0,0
36.0,77564.0,5000.0,740.0,0
46.0,55448.0,51397.0,656.0,0
42.0,90152.0,26147.0,606.0,1
63.0,122844.0,43239.0,668.0,0
29.0,67326.0,43893.0,607.0,1
44.0,69539.0,24480.0,610.0,1
32.0,67585.0,42926.0,549.0,0
28.0,99492.0,30374.0,696.0,0
38.0,93970.0,10143.0,617.0,0
40.0,81829.0,49013.0,651.0,0
70.0,66640.0,25699.0,578.0,0
36.0,86848.0,24746.0,666.0,0
26.0,53708.0,30163.0,594.0,1
41.0,87869.0,38267.0,631.0,0
18.0,102430.0,34313.0,693.0,0
37.0,59976.0,41577.0,687.0,0
38.0,54350.0,18926.0,639.0,1
47.0,116589.0,26091.0,534.0,1
49.0,72765.0,33608.0,820.0,1
32.0,107719.0,57775.0,745.0,0
36.0,81920.0,33634.0,683.0,0
30.0,81761.0,48023.0,595.0,1
26.0,93768.0,35463.0,633.0,0
41.0,67320.0,29196.0,607.0,0
24.0,87650.0,32039.0,716.0,0
33.0,77370.0,32979.0,656.0,0
27.0,58590.0,42244.0,593.0,1
44.0,91750.0,51495.0,612.0,0
58.0,79734.0,39316.0,707.0,1
24.0,81860.0,49245.0,736.0,0
18.0,60797.0,23423.0,732.0,0
37.0,116828.0,30024.0,685.0,0
38.0,102534.0,26308.0,625.0,0
40.0,104283.0,38773.0,450.0,0
33.0,78891.0,30692.0,658.0,0
36.0,50416.0,43757.0,640.0,0
42.0,124058.0,23828.0,648.0,1
49.0,83778.0,35516.0,643.0,0
18.0,70024.0,43242.0,560.0,0
34.0,93336.0,10216.0,673.0,0
40.0,108342.0,60460.0,678.0,0
28.0,84539.0,31602.0,681.0,0
57.0,110572.0,10700.0,697.0,0
31.0,106660.0,36897.0,676.0,0
38.0,63472.0,35401.0,615.0,0
44.0,71524.0,34017.0,636.0,1
31.0,104151.0,46894.0,645.0,0
18.0,30748.0,43969.0,646.0,0
33.0,82011.0,38575.0,700.0,0
49.0,56383.0,40402.0,679.0,0
34.0,75469.0,33748.0,765.0,0
29.0,79024.0,56306.0,772.0,0
48.0,77835.0,17250.0,645.0,0
34.0,73955.0,36676.0,450.0,1
32.0,63057.0,35780.0,714.0,0
40.0,130838.0,44759.0,608.0,0
46.0,122349.0,24874.0,592.0,1
64.0,61759.0,14076.0,616.0,0
47.0,116642.0,36882.0,613.0,0
51.0,77011.0,38375.0,677.0,0
32.0,87584.0,52875.0,546.0,1
27.0,83735.0,19756.0,575.0,1
39.0,71805.0,48856.0,661.0,0
39.0,104677.0,63409.0,677.0,1
26.0,87518.0,30467.0,678.0,0
36.0,75469.0,19509.0,593.0,1
42.0,58908.0,30116.0,581.0,0
42.0,67128.0,35168.0,610.0,1
44.0,52172.0,41765.0,654.0,1
41.0,85244.0,27903.0,729.0,0
32.0,61067.0,53662.0,517.0,1
32.0,79689.0,21626.0,627.0,0
25.0,112402.0,14130.0,560.0,0
58.0,108986.0,48281.0,541.0,0
38.0,84354.0,7705.0,698.0,0
36.0,83258.0,32550.0,673.0,1
28.0,122597.0,72412.0,667.0,1
70.0,95415.0,34855.0,695.0,0
26.0,78444.0,21551.0,611.0,0
33.0,56480.0,34311.0,614.0,0
43.0,92877.0,34390.0,771.0,0
45.0,101586.0,36928.0,625.0,0
49.0,72367.0,42947.0,684.0,1
58.0,90824.0,22531.0,640.0,0
44.0,77729.0,55251.0,529.0,0
26.0,81319.0,37941.0,517.0,0
35.0,35244.0,43722.0,605.0,0
41.0,80564.0,27462.0,703.0,0
61.0,104387.0,50437.0,687.0,1
23.0,72372.0,31915.0,695.0,0
51.0,86051.0,38331.0,581.0,0
40.0,69881.0,23803.0,737.0,0
47.0,92209.0,23037.0,582.0,1
37.0,80670.0,43258.0,653.0,1
29.0,66215.0,29677.0,639.0,0
46.0,111651.0,24754.0,630.0,0
45.0,103579.0,27282.0,720.0,0
49.0,72902.0,43387.0,598.0,0
38.0,94956.0,27452.0,559.0,0
31.0,95748.0,33588.0,641.0,0
21.0,97846.0,35180.0,616.0,0
47.0,51115.0,11992.0,843.0,0
43.0,105132.0,17346.0,681.0,1
27.0,73606.0,39035.0,615.0,1
32.0,77843.0,26156.0,577.0,0
33.0,137758.0,47681.0,527.0,0
22.0,91037.0,46602.0,578.0,1
29.0,77274.0,43630.0,647.0,1
26.0,40894.0,56837.0,726.0,0
33.0,112795.0,34003.0,707.0,1
30.0,58096.0,42787.0,654.0,0
20.0,64931.0,27987.0,621.0,1
60.0,78373.0,64428.0,656.0,1
52.0,113328.0,58804.0,609.0,0
29.0,100465.0,35143.0,743.0,1
41.0,81843.0,39639.0,629.0,0
43.0,91166.0,51312.0,635.0,1
51.0,72992.0,33234.0,507.0,1
29.0,87793.0,27121.0,628.0,1
50.0,86467.0,45488.0,690.0,1
32.0,104375.0,35941.0,576.0,1
23.0,104344.0,37196.0,595.0,0
46.0,94880.0,24989.0,688.0,0
52.0,77753.0,14388.0,551.0,0
66.0,99836.0,37834.0,703.0,0
25.0,83161.0,45860.0,608.0,0
46.0,63362.0,32290.0,617.0,0
33.0,76934.0,52237.0,573.0,0
47.0,86691.0,26553.0,663.0,0
22.0,103204.0,22344.0,788.0,0
24.0,81329.0,34193.0,687.0,0
29.0,60816.0,34009.0,588.0,0
39.0,86135.0,44240.0,708.0,0
31.0,87269.0,25700.0,621.0,0
45.0,88717.0,51417.0,722.0,0
49.0,103397.0,58603.0,688.0,0
45.0,105378.0,34530.0,463.0,0
56.0,73116.0,49997.0,580.0,0
43.0,72677.0,22322.0,697.0,0
25.0,64196.0,47903.0,649.0,1
53.0,98976.0,47567.0,579.0,1
31.0,113976.0,45361.0,602.0,1
48.0,78698.0,34813.0,526.0,0
55.0,80171.0,5000.0,635.0,1
43.0,114336.0,27299.0,773.0,0
22.0,95111.0,27489.0,688.0,0
28.0,93725.0,23261.0,771.0,0
53.0,61182.0,36467.0,693.0,1
36.0,98575.0,29972.0,702.0,1
39.0,66417.0,25105.0,758.0,0
46.0,62320.0,22294.0,663.0,0
46.0,78065.0,26414.0,629.0,0
41.0,73284.0,48458.0,702.0,0
36.0,80568.0,27068.0,727.0,0
35.0,56180.0,28821.0,611.0,1
47.0,104176.0,29520.0,597.0,0
44.0,107554.0,39068.0,648.0,0
35.0,46053.0,40475.0,690.0,0
50.0,104569.0,5000.0,688.0,0
37.0,68789.0,47260.0,555.0,0
29.0,102140.0,52236.0,755.0,0
30.0,83631.0,22398.0,602.0,0
27.0,85576.0,23332.0,624.0,0
35.0,81298.0,29597.0,586.0,0
52.0,109243.0,25928.0,802.0,1
29.0,60208.0,37687.0,655.0,1
40.0,97157.0,11642.0,589.0,1
31.0,107027.0,21585.0,692.0,1
35.0,99327.0,53470.0,686.0,0
21.0,131494.0,23861.0,629.0,1
36.0,74421.0,49921.0,690.0,1
36.0,104146.0,39264.0,590.0,1
44.0,82878.0,13289.0,610.0,0
40.0,109668.0,42624.0,519.0,0
25.0,84846.0,33588.0,561.0,1
50.0,77242.0,29534.0,748.0,1
40.0,111121.0,37939.0,738.0,1
40.0,75169.0,40696.0,644.0,0
38.0,56745.0,43491.0,740.0,1
32.0,74663.0,49139.0,630.0,0
40.0,97381.0,39898.0,625.0,0
43.0,112841.0,18492.0,643.0,1
19.0,87223.0,29316.0,633.0,0
32.0,111364.0,70317.0,627.0,1
35.0,57837.0,43694.0,709.0,0
41.0,76135.0,63431.0,649.0,1
51.0,79228.0,51745.0,683.0,0
30.0,82709.0,37902.0,702.0,0
33.0,86682.0,38617.0,663.0,0
32.0,98818.0,34561.0,582.0,1
29.0,76104.0,14146.0,559.0,0
34.0,87781.0,35217.0,649.0,0
46.0,84098.0,49528.0,630.0,0
26.0,66482.0,27804.0,645.0,0
43.0,82727.0,39943.0,639.0,1
19.0,82127.0,45219.0,795.0,1
32.0,81698.0,24084.0,560.0,0
34.0,85635.0,29584.0,521.0,1
56.0,86513.0,22785.0,660.0,0
35.0,76354.0,25134.0,617.0,1
18.0,110454.0,19549.0,659.0,0
18.0,61610.0,24195.0,675.0,0
38.0,70581.0,52033.0,717.0,0
45.0,140599.0,24014.0,550.0,0
42.0,64240.0,36518.0,607.0,0
40.0,57925.0,28966.0,666.0,0
51.0,99690.0,49146.0,686.0,1
32.0,43458.0,50734.0,772.0,0
48.0,80295.0,45369.0,697.0,0
20.0,127916.0,38674.0,637.0,1
28.0,54101.0,32227.0,587.0,0
18.0,45361.0,20698.0,606.0,1
35.0,55016.0,58322.0,604.0,0
37.0,102967.0,25884.0,679.0,1
39.0,107496.0,42964.0,655.0,1
39.0,74748.0,47715.0,561.0,1
28.0,98664.0,28337.0,614.0,0
36.0,112805.0,47456.0,693.0,0
22.0,120747.0,44171.0,661.0,0
53.0,80073.0,55736.0,674.0,0
35.0,38971.0,29368.0,663.0,0
33.0,68582.0,19570.0,738.0,1
55.0,76464.0,28934.0,654.0,0
24.0,79821.0,37506.0,617.0,1
26.0,81243.0,35699.0,585.0,1
26.0,107378.0,30279.0,655.0,0
37.0,110489.0,12090.0,494.0,1
43.0,81567.0,40646.0,629.0,1
46.0,106970.0,58668.0,628.0,0
66.0,92153.0,40571.0,558.0,0
18.0,86290.0,42310.0,584.0,0
45.0,103131.0,41869.0,689.0,0
32.0,86445.0,39765.0,654.0,0
32.0,126156.0,46180.0,646.0,0
31.0,56232.0,39744.0,658.0,1
28.0,74697.0,31248.0,646.0,1
57.0,82470.0,25448.0,715.0,0
47.0,93789.0,32012.0,647.0,1
38.0,110359.0,38770.0,553.0,0
53.0,84512.0,31207.0,738.0,0
21.0,56555.0,38772.0,662.0,1
23.0,101850.0,40270.0,605.0,1
18.0,100099.0,44998.0,565.0,1
30.0,46163.0,50394.0,664.0,1
40.0,84924.0,35936.0,633.0,1
39.0,53197.0,19307.0,734.0,0
40.0,71707.0,30859.0,619.0,0
22.0,66944.0,35529.0,590.0,0
47.0,101185.0,12971.0,694.0,0
41.0,87337.0,51664.0,696.0,0
46.0,59288.0,36709.0,650.0,0
18.0,102601.0,39576.0,681.0,0
41.0,56324.0,51386.0,638.0,0
25.0,91602.0,27438.0,654.0,0
34.0,68720.0,41889.0,710.0,0
44.0,77686.0,33682.0,678.0,0
39.0,95085.0,32791.0,630.0,1
29.0,95429.0,25734.0,721.0,0
38.0,111739.0,54987.0,498.0,1
21.0,83355.0,30494.0,763.0,0
51.0,91129.0,43394.0,538.0,0
36.0,76245.0,12500.0,602.0,1
50.0,88640.0,49160.0,638.0,1
32.0,93790.0,47627.0,631.0,1
32.0,83034.0,36169.0,700.0,1
30.0,48925.0,32277.0,577.0,1
48.0,91629.0,39800.0,656.0,1
30.0,92291.0,62465.0,605.0,1
45.0,71397.0,13841.0,658.0,1
34.0,59312.0,44384.0,636.0,0
18.0,114518.0,24061.0,646.0,0
32.0,94829.0,34761.0,607.0,1
25.0,80418.0,32025.0,609.0,0
38.0,62259.0,29860.0,657.0,0
25.0,68564.0,34874.0,697.0,0
48.0,111052.0,21390.0,604.0,0
37.0,87753.0,47350.0,588.0,0
36.0,73988.0,13470.0,677.0,0
45.0,95194.0,41477.0,638.0,0
49.0,68712.0,31082.0,690.0,0
38.0,115017.0,20949.0,586.0,0
30.0,112056.0,37429.0,533.0,0
18.0,75669.0,16317.0,608.0,0
30.0,72427.0,35477.0,594.0,0
31.0,32637.0,17925.0,635.0,0
39.0,55368.0,40535.0,602.0,0
34.0,58211.0,23908.0,684.0,1
46.0,87704.0,29588.0,623.0,0
31.0,78475.0,38527.0,649.0,1
37.0,58093.0,25729.0,649.0,0
51.0,79377.0,34304.0,652.0,0
42.0,95107.0,16834.0,639.0,1
37.0,95557.0,42571.0,671.0,0
31.0,47007.0,56179.0,592.0,1
31.0,82435.0,68507.0,724.0,1
29.0,57333.0,36094.0,626.0,1
32.0,103035.0,44458.0,561.0,1
46.0,100683.0,13632.0,651.0,0
36.0,67039.0,53033.0,589.0,0
23.0,69679.0,44315.0,680.0,0
57.0,75775.0,29193.0,773.0,1
42.0,39944.0,49846.0,593.0,0
23.0,91719.0,31946.0,660.0,1
33.0,79543.0,29504.0,535.0,1
39.0,104404.0,40704.0,667.0,1
57.0,63032.0,22240.0,587.0,0
26.0,72618.0,47259.0,603.0,0
49.0,54869.0,22328.0,574.0,1
53.0,64914.0,22399.0,684.0,1
31.0,61360.0,24084.0,700.0,1
35.0,104919.0,44114.0,641.0,0
27.0,71035.0,27599.0,588.0,0
36.0,87484.0,18824.0,735.0,1
38.0,77385.0,27732.0,595.0,0
45.0,59611.0,34615.0,510.0,1
50.0,81634.0,20828.0,668.0,0
30.0,96982.0,21180.0,574.0,0
18.0,60845.0,60336.0,699.0,0
38.0,101182.0,24673.0,617.0,0
41.0,68006.0,31123.0,676.0,0
41.0,75340.0,30593.0,724.0,0
34.0,95614.0,29944.0,567.0,0
39.0,71731.0,42456.0,606.0,0
55.0,85751.0,46378.0,635.0,1
42.0,78706.0,31329.0,732.0,1
34.0,87587.0,20162.0,600.0,0
32.0,37385.0,50293.0,604.0,0
36.0,48406.0,33856.0,669.0,0
56.0,97319.0,55764.0,605.0,0
36.0,105744.0,8053.0,649.0,0
38.0,66790.0,37345.0,547.0,1
33.0,80119.0,58023.0,773.0,0
50.0,90894.0,30761.0,559.0,0
60.0,98864.0,32294.0,621.0,1
43.0,44446.0,38546.0,638.0,1
39.0,67279.0,28294.0,755.0,1
38.0,78348.0,31255.0,561.0,0
18.0,99063.0,30946.0,759.0,0
46.0,134969.0,27471.0,685.0,0
39.0,80440.0,49746.0,665.0,0
43.0,56860.0,40533.0,581.0,1
30.0,93045.0,38008.0,674.0,0
34.0,111420.0,44703.0,597.0,0
33.0,87160.0,31828.0,716.0,0
49.0,66867.0,25710.0,582.0,0
